age_group,gender_encoded,marital_status_encoded,housing_status_encoded,income_category,customer_reference,annual_income_normalized,savings_balance_normalized,checking_balance_normalized,loan_amount_normalized,loan_duration_months,existing_credits,past_due_count,credit_history_score,debt_ratio,loan_purpose_car,loan_purpose_education,loan_purpose_health,loan_purpose_housing,loan_purpose_other,credit_risk_encoded,region_Assaba,region_Brakna,region_Gorgol,region_Guidimakha,region_Hodh Ech Chargui,region_Hodh El Gharbi,region_Inchiri,region_Nouadhibou,region_Nouakchott,region_Tagant,region_Trarza,education_level_master,education_level_phd,education_level_primary,education_level_secondary,employment_status_public_sector,employment_status_retired,employment_status_self_employed,employment_status_student,employment_status_unemployed
26-35,0,1,2,Bas,USER0011,-0.45589909441935983,0.15307895951943493,-0.46623530408053215,-1.0952397285183464,24,0,0,578,0.367,False,False,False,False,False,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False
56+,0,1,2,Bas,USER0012,-0.6319686158675295,0.11497618226823761,-0.1459876979701957,0.9531699645195177,36,0,0,580,1.173,True,False,False,False,False,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False
26-35,1,1,0,Très bas,USER0013,-1.0151194713195777,-0.7988080388676899,-0.5123651889940171,-1.2832567447700398,18,0,1,523,0.36,False,False,True,False,False,0,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False
36-45,1,1,3,Bas,USER0014,-0.5609597335306161,-0.794284248775849,0.4774351879424088,-0.6375649847756566,12,0,0,564,0.587,True,False,False,False,False,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
36-45,0,1,2,Très bas,USER0015,-0.9850048282999105,-0.5356619154010465,-0.8497756736262171,-0.9610879988242609,24,1,0,589,0.535,False,False,False,True,False,1,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
26-35,0,2,0,Élevé,USER0016,0.10841428442848026,-0.9609409388659225,0.9085866178986607,0.11509617855299811,6,0,0,535,0.596,False,False,False,False,False,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False
26-35,1,1,0,Très bas,USER0017,-1.239795238823584,-0.5559721049409686,-0.7760564695738554,-0.5257910002126259,48,1,1,552,1.14,False,False,False,False,False,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
26-35,0,1,3,Très élevé,USER0018,2.2870209793920795,-0.9609409388659225,0.6648006543156325,0.44183840747132597,24,0,0,657,0.132,False,False,True,False,False,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
36-45,1,1,2,Bas,USER0019,-0.33212725437968205,-0.09218413332242897,-1.2790190390774945,-0.6624379446450916,36,0,0,747,0.388,True,False,False,False,False,1,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False
36-45,0,1,3,Élevé,USER0020,0.09641359866353275,-0.9609409388659225,1.23108509332334,0.47807073547293305,60,0,0,503,0.608,False,True,False,False,False,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False
26-35,1,1,3,Très élevé,USER0021,0.5113612900153258,0.6037872414285954,-0.22423127870469187,3.7455932211029594,12,1,2,460,0.976,False,False,False,False,False,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
36-45,0,1,0,Très élevé,USER0022,0.583848937256122,1.3320122035519812,1.279355891291559,1.1199954322839198,60,0,1,580,0.628,False,False,False,False,False,1,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
36-45,0,2,3,Très bas,USER0023,-0.9758656960667795,-0.5145360952229733,-0.6334723069300926,-1.615437055032052,60,1,0,769,0.34,False,False,False,False,False,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
26-35,1,1,2,Élevé,USER0024,-0.009688174397688213,-0.9609409388659225,0.038066144584224616,-0.8646036688206953,12,0,0,607,0.391,False,False,False,True,False,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
36-45,1,2,2,Très bas,USER0025,-0.8615762077687881,-0.5106717161914117,-0.027778250875572882,-0.4654872839155713,36,2,0,492,0.521,False,False,True,False,False,0,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
56+,1,1,3,Très élevé,USER0026,0.5942623631965492,-0.22253539351513352,1.7067914464745637,-1.030213850650342,24,0,0,528,0.1,False,False,False,False,False,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
56+,1,0,3,Très élevé,USER0027,0.5306332219037736,0.7446216575047916,-1.2790190390774945,1.8195169252580325,12,0,0,756,0.746,True,False,False,False,False,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
36-45,0,1,0,Très élevé,USER0028,0.8457781049136707,0.27897713953449316,0.5804674372033956,0.5448338904418176,18,1,1,608,0.474,True,False,False,False,False,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
26-35,0,1,3,Bas,USER0029,-0.3623316143529532,0.17729299408953894,0.27375091904020027,1.9630418709382604,24,1,0,696,0.959,False,False,False,False,False,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
56+,1,1,1,Très bas,USER0030,-0.8595001991912032,-0.3888714223664178,-0.022662050796132913,-0.9906087809654454,24,2,2,579,0.445,False,True,False,False,False,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
46-55,1,1,2,Très bas,USER0031,-0.7886999609324392,-0.9609409388659225,-0.7855224099231103,-0.8314838949551763,36,1,0,610,0.518,False,False,False,False,False,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
26-35,0,2,0,Très élevé,USER0032,1.1242647450029462,-0.9609409388659225,1.4391191024953631,-0.4865269216610184,18,1,0,679,0.305,False,False,True,False,False,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
46-55,1,2,2,Très bas,USER0033,-0.8986872083389938,-0.6660822410913363,-0.3543709799668584,-0.4860760376506503,6,2,0,678,0.783,False,True,False,False,False,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
36-45,0,2,3,Très bas,USER0034,-1.058532044660085,-0.9609409388659225,-0.06043202597172108,-1.1743028053614608,18,2,2,504,0.622,False,False,False,True,False,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
26-35,1,2,3,Très élevé,USER0035,1.4100513197764672,3.388299263160788,0.36679331871497306,1.0892124981280498,12,0,0,763,0.357,False,False,False,False,False,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False
56+,1,0,2,Bas,USER0036,-0.5847754118309584,-0.008461950499494775,0.04303358031242928,-0.7019589786004574,12,0,0,625,0.546,False,False,True,False,False,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True
36-45,1,1,2,Élevé,USER0037,0.2880093691871761,-0.9609409388659225,0.6364869174663924,-0.7105904176663175,24,3,0,663,0.307,True,False,False,False,False,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
26-35,1,3,0,Très élevé,USER0038,0.7497199361643577,1.861994521356257,0.9121796003817566,-0.1003972891118672,12,0,1,570,0.448,False,False,True,False,False,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
18-25,0,1,0,Très bas,USER0039,-1.0635535860109413,-0.9609409388659225,-0.5155603885379404,0.1303082616698193,18,1,1,516,1.233,True,False,False,False,False,0,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
36-45,0,0,3,Élevé,USER0040,0.393326640514556,-0.1984841561893378,-1.2790190390774945,0.22890479741371067,36,1,1,688,0.488,False,False,False,True,False,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
26-35,0,1,3,Bas,USER0041,-0.5428212605967141,-0.004896855290803011,-0.8232471089918008,0.13031149381326285,24,3,0,711,0.681,False,True,False,False,False,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
26-35,0,1,1,Bas,USER0042,-0.4152839165566382,0.3158219380796714,-0.33772554266668275,1.2290123984896473,24,0,0,636,0.924,False,False,False,False,False,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
26-35,0,1,3,Très élevé,USER0043,1.840078761876495,-0.7606460626185623,-0.8896412857496419,-1.0761894750623722,12,1,1,571,0.206,False,True,False,False,False,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
46-55,0,1,3,Très élevé,USER0044,1.4955708761384632,1.349934700175381,0.0002864673857297355,-1.0434995762748385,48,1,0,716,0.135,False,False,False,True,False,1,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
36-45,0,1,3,Très élevé,USER0045,1.869907040898902,-0.9609409388659225,0.42297449935974735,-0.7018603982254306,48,1,2,554,0.172,True,False,False,False,False,1,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
46-55,0,2,2,Élevé,USER0046,0.44417111591873853,-0.9609409388659225,-0.04670366355881149,-0.17603267783315235,12,0,0,573,0.429,True,False,False,False,False,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
46-55,1,1,2,Très bas,USER0047,-0.7587861378379906,-0.5718505917191637,-0.6867234766570585,-1.5319313970258508,6,1,1,567,0.37,False,True,False,False,False,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
36-45,0,2,0,Très bas,USER0048,-1.0576927738557298,-0.5589896094188049,-0.8108737957781865,-0.010902469304865025,24,0,0,501,1.282,False,False,True,False,False,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
46-55,0,2,2,Élevé,USER0049,0.1284029087253705,-0.4100284864600653,-1.2790190390774945,-0.521217517240077,12,0,0,670,0.411,False,False,False,False,True,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
36-45,0,1,2,Très élevé,USER0050,1.0013478240734848,2.0481655033474118,-1.2790190390774945,-1.0315697348248893,24,0,0,684,0.336,False,False,False,False,False,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
46-55,0,1,2,Très élevé,USER0051,0.6660239290453859,-0.5678743923581784,1.9716178637344803,-1.3064635346943518,12,0,0,633,0.297,True,False,False,False,False,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
46-55,0,1,2,Bas,USER0052,-0.46618942035367933,-0.1965930770887864,-0.22120748156545259,-1.0077342930008168,36,1,0,704,0.415,True,False,False,False,False,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False
46-55,1,2,0,Élevé,USER0053,0.17600557676530953,-0.9609409388659225,0.5074241407468637,0.1223685013008675,24,1,0,719,0.44,False,False,False,False,False,0,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
46-55,0,2,0,Bas,USER0054,-0.3488026107155627,-0.7701179022874111,-1.2790190390774945,0.9147688682673242,24,0,0,614,0.901,False,False,False,False,True,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
26-35,0,1,3,Bas,USER0055,-0.23940113155841197,-0.13302815306112126,0.6275966304762656,0.05797450747606688,24,2,0,586,0.561,True,False,False,False,False,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
36-45,0,1,2,Très bas,USER0056,-1.3645758729811135,-0.9609409388659225,-0.8048747116142414,0.9271124240780413,24,0,0,560,1.8,True,False,False,False,False,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
26-35,0,1,3,Bas,USER0057,-0.6532471821775774,0.4354614684802093,0.5326073582048916,-0.22998684833545627,36,0,0,652,0.853,True,False,False,False,False,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
36-45,0,2,3,Bas,USER0058,-0.6632365390291665,0.14972928288654502,-1.0591873700509848,1.9113211115554138,18,1,0,594,1.406,False,False,False,False,False,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
56+,1,2,2,Bas,USER0059,-0.24021067058163095,0.07438211385413987,-0.8142274616962519,0.16479038399677223,18,1,1,642,0.486,False,False,False,True,False,0,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False
26-35,0,1,3,Très bas,USER0060,-0.7395084682373939,-0.9609409388659225,-0.15197708011123426,-0.2646047206870361,24,1,1,588,0.738,False,True,False,False,False,1,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False
46-55,1,2,3,Bas,USER0061,-0.7051093190729325,-0.6031553507080311,-0.8774846510476094,-0.8926699864123059,24,1,0,683,0.375,False,True,False,False,False,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
26-35,0,1,0,Très bas,USER0062,-0.9692219470083132,-0.4196335238742573,-0.4890868020333283,-0.40231665638413444,18,1,1,668,0.806,False,False,False,True,False,0,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
36-45,1,1,3,Bas,USER0063,-0.5956681975409335,-0.30252475063524015,-0.3005538589036713,1.4011644386489333,36,0,0,585,1.199,True,False,False,False,False,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
36-45,1,1,0,Très élevé,USER0064,0.5555802727178798,-0.9609409388659225,-1.2029778175428079,-0.5633824445322237,18,1,1,692,0.193,True,False,False,False,False,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
26-35,1,1,2,Très bas,USER0065,-0.8148159401943765,-0.9609409388659225,-0.6270883758575169,-0.05196038746761373,48,3,0,678,0.94,False,False,False,False,False,0,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False
18-25,0,1,2,Très élevé,USER0066,1.17454535978593,1.7589455101256875,2.041485364692902,-1.1975903988718601,48,1,0,672,0.284,False,False,False,True,False,1,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
46-55,1,1,3,Élevé,USER0067,0.01517176751379099,-0.5312729674711579,0.4964058767325451,-1.1948042912235652,12,0,0,712,0.249,True,False,False,False,False,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False
36-45,1,1,2,Élevé,USER0068,-0.10114365478302935,-0.40638939250396067,-0.2537124923103654,-1.3224885018872126,6,1,0,610,0.271,False,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
46-55,0,3,2,Très élevé,USER0069,0.5819382791104702,0.16238142427753866,2.511823265169113,-1.143896415916758,36,0,1,663,0.216,False,False,False,True,False,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
36-45,0,2,3,Très élevé,USER0070,1.3022047606117235,1.3631262102141841,-1.2790190390774945,-1.0703603043620245,48,2,0,541,0.32,False,True,False,False,False,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
26-35,1,1,2,Très élevé,USER0071,0.6680952431312122,0.09232927672667747,-0.27629556762941093,-0.14262685927288404,18,2,3,488,0.36,False,False,True,False,False,0,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False
56+,0,1,2,Élevé,USER0072,-0.0068959950218562,-0.706666443005779,-0.5318630210287478,-0.5777299292779091,18,0,0,663,0.428,False,True,False,False,False,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
56+,1,2,0,Très bas,USER0073,-0.8644069862990774,-0.1894530201717479,0.3235578706353054,-0.060456076508846865,24,0,3,300,0.973,False,False,False,True,False,0,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False
18-25,1,2,2,Élevé,USER0074,0.3054473196286925,0.46155507123460027,0.5758331042616525,-1.065474919547178,24,2,1,635,0.366,True,False,False,False,False,1,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
36-45,0,1,2,Élevé,USER0075,0.16075265143221118,1.6526175321764227,1.0693200313931301,-0.1127440770660279,24,1,1,499,0.604,False,False,False,False,True,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
46-55,1,1,3,Élevé,USER0076,0.07293435893920586,0.5143803103877429,0.4144787613011575,0.1395893615678224,18,1,0,615,0.593,False,False,False,False,True,1,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
26-35,0,1,2,Élevé,USER0077,0.16775161703372665,0.17625701162575855,-0.10381300439498843,-0.8699253930004138,36,0,0,697,0.414,False,False,False,False,False,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
46-55,0,2,2,Élevé,USER0078,0.026486014261627593,-0.9609409388659225,-0.40871201026700477,-1.522178404185097,48,1,1,687,0.231,False,False,False,True,False,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
46-55,1,0,0,Très élevé,USER0079,1.1034092045613457,-0.9609409388659225,-0.6381292779252845,0.5558490352972572,48,2,0,631,0.492,False,True,False,False,False,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
26-35,0,1,2,Élevé,USER0080,0.4666024407605608,0.5854010193214082,-1.2790190390774945,-0.5775408488864645,36,0,0,604,0.196,True,False,False,False,False,1,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False
36-45,0,2,0,Très bas,USER0081,-1.0785681354847543,-0.8892854851211156,-0.3865913980398429,-1.3460572918771962,24,2,0,746,0.359,False,False,False,True,False,1,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False
18-25,1,1,2,Très élevé,USER0082,1.0806633487717137,-0.9387857138905059,0.3446662384725401,0.5995977128767174,24,0,0,607,0.434,True,False,False,False,False,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
46-55,1,2,2,Très élevé,USER0083,1.9996607066591185,0.35711981680249605,3.053577756261174,-0.4755133928773004,48,2,0,647,0.136,False,False,False,False,False,1,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
36-45,1,2,0,Très bas,USER0084,-1.1313754300541254,-0.7900745422563608,-0.16287891985067324,-0.9582210875898787,24,0,0,633,0.706,False,True,False,False,False,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
36-45,1,1,0,Très élevé,USER0085,0.615331242208057,0.6448170802441244,-1.2355572104633383,-0.6587096671830173,12,0,2,623,0.224,False,False,False,False,False,1,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False
26-35,1,2,1,Très bas,USER0086,-0.7791743155445366,-0.36339283142385814,-0.6621223805734298,1.0823118718761824,48,1,0,521,1.333,False,False,False,True,False,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
36-45,0,3,2,Très élevé,USER0087,0.5427841314049884,-0.5782638164949468,-1.2790190390774945,1.4898867761729395,12,0,0,753,0.555,False,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
36-45,0,2,0,Élevé,USER0088,0.3818501729959585,-0.9609409388659225,2.1723882917570583,0.0952152642320452,18,0,0,592,0.463,False,False,False,True,False,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False
26-35,0,0,2,Bas,USER0089,-0.5176827788409056,-0.7067091978376175,-0.8699073711575157,-0.5137205605228844,24,2,3,569,0.534,True,False,False,False,False,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
26-35,1,1,3,Très bas,USER0090,-0.8046382820622577,-0.7802590195161943,-0.5273645164076978,-0.5559388181818488,12,0,0,657,0.694,False,False,False,False,True,1,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False
26-35,0,0,2,Bas,USER0091,-0.3630983813401516,-0.4638321534956668,-0.14788606045226357,-0.4280235092619918,6,2,0,545,0.533,True,False,False,False,False,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False
36-45,1,1,2,Très élevé,USER0092,0.6731136548208965,-0.613472420513996,0.0861817101859371,-0.9293241091332892,18,2,0,719,0.123,False,False,False,False,False,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
18-25,0,1,2,Élevé,USER0093,0.23927376380288717,-0.9609409388659225,-1.2790190390774945,-0.09905433351109408,36,1,0,683,0.404,False,False,True,False,False,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
56+,0,2,2,Élevé,USER0094,-0.05714114031155505,-0.35985898013074075,1.0178507998733521,-0.3886511539050268,24,1,2,617,0.554,False,False,False,False,False,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
36-45,1,1,0,Très élevé,USER0095,0.7019759117614727,-0.9609409388659225,-1.2790190390774945,-1.125319671475256,48,1,0,575,0.266,False,False,False,False,False,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
36-45,0,1,2,Élevé,USER0096,0.46080630826957547,2.6744448577849846,-0.3959603181600312,-0.8472438263856702,24,3,0,550,0.385,True,False,False,False,False,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
26-35,1,2,3,Bas,USER0097,-0.7048396466019248,-0.4126052872866427,0.08643072877387444,2.694918735853505,60,0,0,551,1.738,False,False,False,False,False,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
36-45,1,2,0,Bas,USER0098,-0.564806087111297,-0.055531731520524104,-0.5503680127193648,-1.546136667460022,12,0,2,580,0.286,False,False,False,False,False,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
36-45,1,1,2,Très élevé,USER0099,2.0642037090141874,1.4314961195738594,2.9149714230091375,1.2395281771830664,24,0,1,469,0.432,False,False,True,False,False,0,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
18-25,1,2,2,Bas,USER0100,-0.3473885254759064,-0.865355934624399,0.9975088918457429,1.5509694390398767,48,2,2,683,1.032,False,False,False,False,False,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False
26-35,1,1,3,Très bas,USER0101,-0.8687457399041904,-0.7999081535792282,-0.3623266387503114,-0.4454479945658868,12,2,1,774,0.599,False,False,False,False,False,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False
36-45,1,1,1,Bas,USER0102,-0.6309911183614005,-0.1455536743732082,0.7158785709115086,-0.5285981167933036,6,0,0,641,0.645,False,False,True,False,False,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
56+,1,2,0,Élevé,USER0103,0.2109743242631182,1.3180708395393943,0.1643153346608245,-0.1703570339463709,60,1,1,598,0.46,False,False,False,False,False,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
36-45,0,1,2,Élevé,USER0104,-0.08650309981929884,-0.8972066399275123,0.4900898598203159,-0.4801789919379892,36,2,1,653,0.472,False,False,False,False,True,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
26-35,0,2,0,Très bas,USER0105,-0.8813076782393594,-0.8567112365099651,-0.14456796861818924,0.23101700315403625,6,1,1,549,0.908,True,False,False,False,False,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
46-55,1,1,0,Bas,USER0106,-0.2861076732827001,0.12159495912016757,0.10560516004505023,2.161699103405948,36,2,1,549,1.077,False,False,False,True,False,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
36-45,1,2,3,Bas,USER0107,-0.520668475599221,-0.9609409388659225,0.18894553681317322,-0.5080158273451114,24,2,1,631,0.547,True,False,False,False,False,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
46-55,1,1,0,Très bas,USER0108,-1.201173655127578,-0.7798791592794748,-0.5524119055450324,-0.2894615198392539,24,0,1,567,1.378,False,False,False,False,False,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
36-45,1,1,2,Très bas,USER0109,-1.1338781157715252,-0.780999006990323,-0.5431885157684438,0.8975059901356041,24,0,0,735,1.8,True,False,False,False,False,0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True
